               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.027665,           0.0098375,            0.019051,             0.91116,             0.92938,             0.98114,              0.7436,             0.01671,           0.0034699,           0.0077572,           0.0077428,           0.0077428,           0.0077428
                 116,            0.026179,           0.0093659,            0.017399,             0.89424,             0.97783,             0.98289,             0.88326,            0.011674,           0.0035948,           0.0067626,            0.007723,            0.007723,            0.007723
                 117,            0.023618,           0.0089491,            0.020181,             0.95525,             0.97875,              0.9828,             0.82734,             0.01133,           0.0033651,           0.0056858,           0.0077032,           0.0077032,           0.0077032
                 118,            0.029852,           0.0082589,            0.020646,             0.83948,             0.85528,             0.94369,             0.51929,            0.021071,           0.0035248,           0.0058054,           0.0076834,           0.0076834,           0.0076834
                 119,            0.023521,           0.0088532,            0.021952,             0.93345,             0.94643,             0.97447,             0.82426,             0.01217,           0.0035151,           0.0063253,           0.0076636,           0.0076636,           0.0076636
                 120,             0.02865,           0.0092887,            0.020764,             0.89087,             0.94643,             0.96941,             0.73013,            0.015299,           0.0034265,           0.0075016,           0.0076438,           0.0076438,           0.0076438
                 121,            0.026592,           0.0090038,            0.019463,             0.87641,             0.88765,             0.95494,             0.60394,            0.018909,            0.003654,            0.010722,            0.007624,            0.007624,            0.007624
                 122,            0.023904,            0.010869,            0.017898,             0.81594,             0.88136,             0.94615,             0.75892,            0.015553,            0.003522,            0.013086,           0.0076042,           0.0076042,           0.0076042
                 123,            0.028829,           0.0094648,            0.017195,             0.81426,             0.87379,             0.93541,             0.81103,            0.010569,             0.00322,            0.013922,           0.0075844,           0.0075844,           0.0075844
                 124,            0.025903,           0.0086057,            0.020962,             0.87553,             0.87802,             0.95769,             0.81391,            0.017913,           0.0033443,            0.011385,           0.0075646,           0.0075646,           0.0075646
                 125,            0.024374,           0.0086322,            0.016959,             0.88251,             0.88783,             0.96312,              0.7611,            0.012593,            0.003589,             0.01006,           0.0075448,           0.0075448,           0.0075448
                 126,            0.026547,           0.0091294,            0.017203,             0.88951,             0.94351,             0.97273,             0.83079,            0.014936,           0.0036915,           0.0078006,            0.007525,            0.007525,            0.007525
                 127,            0.024309,           0.0093619,            0.021557,             0.94415,             0.97064,             0.97676,              0.7973,            0.013178,           0.0034245,           0.0066907,           0.0075052,           0.0075052,           0.0075052
                 128,            0.029188,           0.0084456,            0.020006,              0.8921,             0.94023,             0.97763,              0.7531,            0.015917,           0.0033077,            0.008327,           0.0074854,           0.0074854,           0.0074854
                 129,            0.025816,           0.0077189,            0.022436,             0.89631,              0.9396,             0.97956,             0.84537,             0.01126,           0.0032877,           0.0082468,           0.0074656,           0.0074656,           0.0074656
                 130,            0.025624,           0.0079388,             0.01954,              0.8804,             0.89473,             0.97942,             0.72897,            0.020326,           0.0033785,           0.0096144,           0.0074458,           0.0074458,           0.0074458
                 131,            0.024964,           0.0097149,            0.015915,             0.90074,              0.9426,             0.98161,             0.82571,            0.012249,           0.0032468,           0.0083556,            0.007426,            0.007426,            0.007426
                 132,             0.02439,           0.0087572,            0.019643,             0.91842,             0.95035,             0.98409,             0.80618,            0.014469,           0.0032748,           0.0080179,           0.0074062,           0.0074062,           0.0074062
                 133,            0.023089,           0.0082445,            0.016812,             0.92376,             0.94988,              0.9829,             0.66349,            0.018586,           0.0032838,           0.0075395,           0.0073864,           0.0073864,           0.0073864
                 134,            0.028127,           0.0098842,            0.018433,             0.93285,             0.95081,             0.98445,             0.86448,           0.0097647,           0.0031587,             0.00735,           0.0073666,           0.0073666,           0.0073666
                 135,            0.021381,           0.0082241,            0.016159,             0.96373,             0.97876,             0.98195,             0.76523,            0.013959,           0.0032055,           0.0070074,           0.0073468,           0.0073468,           0.0073468
                 136,            0.026811,           0.0095117,            0.021545,              0.9598,             0.95511,             0.98352,             0.82321,            0.013729,           0.0030957,           0.0069091,            0.007327,            0.007327,            0.007327
                 137,            0.025109,           0.0087639,            0.018288,             0.91285,             0.97576,             0.98492,             0.80624,            0.013175,           0.0032758,           0.0071652,           0.0073072,           0.0073072,           0.0073072
                 138,            0.027984,           0.0087406,            0.019928,             0.91327,             0.90804,             0.98826,             0.85592,            0.011223,           0.0030108,           0.0090646,           0.0072874,           0.0072874,           0.0072874
                 139,            0.021386,           0.0083138,            0.015335,             0.91569,              0.9015,              0.9872,             0.73959,            0.016867,           0.0033777,           0.0089545,           0.0072676,           0.0072676,           0.0072676
                 140,            0.029191,            0.009825,            0.015321,             0.90548,              0.9015,             0.98682,             0.88566,           0.0099632,            0.003215,           0.0092058,           0.0072478,           0.0072478,           0.0072478
                 141,            0.022673,           0.0085222,            0.016912,              0.7596,             0.98387,             0.98779,             0.83907,            0.012002,           0.0034337,            0.011004,            0.007228,            0.007228,            0.007228
                 142,            0.021701,           0.0084577,            0.016695,             0.74368,             0.95987,             0.98585,             0.74919,            0.019743,           0.0037767,            0.013978,           0.0072082,           0.0072082,           0.0072082
                 143,            0.029281,           0.0076381,            0.018702,             0.94597,             0.97026,             0.98764,             0.84106,            0.010478,           0.0035595,            0.006206,           0.0071884,           0.0071884,           0.0071884
                 144,            0.026851,           0.0086172,            0.017607,             0.95727,             0.98214,             0.98686,             0.86979,            0.012745,           0.0034331,           0.0055877,           0.0071686,           0.0071686,           0.0071686
